id,url,last_modified,date,updated_by,responsible
sobre-o-campus,https://www.sorocaba.unesp.br/#!/sobre-o-campus,Not Found,Not Found,Not Found,Not Found
administracao,https://www.sorocaba.unesp.br/#!/sobre-o-campus/administracao,,,,
diretoria-geral,https://www.sorocaba.unesp.br/#!/sobre-o-campus/administracao/diretoria-geral,Atualizada em 09/Nov/2018 15:56 por Gisele - Responsável: Fernando Marafão,09/Nov/2018,Gisele,Fernando Marafão
congregacao,https://www.sorocaba.unesp.br/#!/sobre-o-campus/administracao/congregacao,Not Found,Not Found,Not Found,Not Found
area-administrativa,https://www.sorocaba.unesp.br/#!/sobre-o-campus/administracao/area-administrativa,Atualizada em 17/Out/2025 11:38 por Fabiane - Responsável: Marcos Malaquias,17/Out/2025,Fabiane,Marcos Malaquias
area-academica,https://www.sorocaba.unesp.br/#!/sobre-o-campus/administracao/area-academica,Atualizada em 18/Mar/2025 13:19 por Gisele - Responsável: Fabricio Ferreira Marciano,18/Mar/2025,Gisele,Fabricio Ferreira Marciano
diretoria-de-biblioteca,https://www.sorocaba.unesp.br/#!/sobre-o-campus/administracao/diretoria-de-biblioteca,Atualizada em 21/Jan/2025 15:01 por Marcos Malaquias - Responsável: Marcos Malaquias,21/Jan/2025,Marcos Malaquias,Marcos Malaquias
informatica,https://www.sorocaba.unesp.br/#!/sobre-o-campus/administracao/informatica,Atualizada em 17/Fev/2025 09:33 por Gisele - Responsável: Marcos Malaquias,17/Fev/2025,Gisele,Gisele
diretoria-de-servicos,https://www.sorocaba.unesp.br/#!/sobre-o-campus/administracao/diretoria-de-servicos,Atualizada em 18/Jun/2025 10:29 por Gisele - Responsável: Gisele,18/Jun/2025,Gisele,Gisele
saude,https://www.sorocaba.unesp.br/#!/sobre-o-campus/administracao/saude,Not Found,Not Found,Not Found,Not Found
apresentacao,https://www.sorocaba.unesp.br/#!/sobre-o-campus/apresentacao,Atualizada em 31/Mar/2025 08:57 por Andressa Maira Sardinha - Responsável: saude,31/Mar/2025,Andressa Maira Sardinha,saude
ouvidoria,https://www.sorocaba.unesp.br/#!/sobre-o-campus/ouvidoria,Atualizada em 04/Jan/2016 15:05 por Gisele - Responsável: Fernando Marafão,04/Jan/2016,Gisele,Fernando Marafão
controladoria,https://www.sorocaba.unesp.br/#!/sobre-o-campus/controladoria,Atualizada em 30/Jul/2024 10:58 por Gisele - Responsável: Danilo,30/Jul/2024,Gisele,Lucas Santacapita Mathias
ensino,https://www.sorocaba.unesp.br/#!/ensino,Atualizada em 15/Set/2017 14:38 por Lucas Santacapita Mathias - Responsável: Lucas Santacapita Mathias,15/Set/2017,Lucas Santacapita Mathias,Lucas Santacapita Mathias
departamentos,https://www.sorocaba.unesp.br/#!/ensino/departamentos,Atualizada em 15/Set/2017 14:38 por Lucas Santacapita Mathias - Responsável: Lucas Santacapita Mathias,15/Set/2017,Lucas Santacapita Mathias,Lucas Santacapita Mathias
engenharia-ambiental3152,https://www.sorocaba.unesp.br/#!/ensino/departamentos/engenharia-ambiental3152,Atualizada em 20/Mar/2024 09:06 por Gisele - Responsável: Giovana Maia Antonangelo,20/Mar/2024,Gisele,Giovana Maia Antonangelo
engenharia-de-controle-e-automacao,https://www.sorocaba.unesp.br/#!/ensino/departamentos/engenharia-de-controle-e-automacao,Atualizada em 21/Mar/2024 11:30 por Giovana Maia Antonangelo - Responsável: Giovana Maia Antonangelo,21/Mar/2024,Giovana Maia Antonangelo,Giovana Maia Antonangelo
graduacao,https://www.sorocaba.unesp.br/#!/ensino/graduacao,Atualizada em 27/Ago/2025 11:36 por Fabiane - Responsável: Carina Yurie Esaki,27/Ago/2025,Fabiane,Carina Yurie Esaki
cursos,https://www.sorocaba.unesp.br/#!/ensino/graduacao/cursos,Atualizada em 26/Set/2023 10:57 por Marcos Dionizio - Responsável: Rogerio Moreno Rosa,26/Set/2023,Marcos Dionizio,Rogerio Moreno Rosa
grupos-pets,https://www.sorocaba.unesp.br/#!/ensino/graduacao/grupos-pets,Atualizada em 26/Set/2023 10:57 por Marcos Dionizio - Responsável: Rogerio Moreno Rosa,26/Set/2023,Marcos Dionizio,Rogerio Moreno Rosa
equipe,https://www.sorocaba.unesp.br/#!/ensino/graduacao/equipe,Atualizada em 28/Set/2018 14:48 por - Responsável: Marcos Dionizio,28/Set/2018,,Marcos Dionizio
